"id","country","variable","coarse_level","coarse_stat","fine_level","fine_stat","diff_type","notes","coarse_significant_p05","fine_significant_p05"
"","US","Good Days vs Days PM2.5","CBSA/metro(n=501)","corr=0.027","county(n=997)","corr=0.023","similar","EPA AirData annual AQI by county / by CBSA(metro,micro), 2024. CBSA is a functional(commuting-based) region, not a strict superset of counties(rural areas outside any CBSA excluded) -- distinct aggregation axis from state/county, no registration required.","no","no"
"","US","Good Days vs Days PM10","CBSA/metro(n=501)","corr=0.099","county(n=997)","corr=0.089","similar","EPA AirData annual AQI by county / by CBSA(metro,micro), 2024. CBSA is a functional(commuting-based) region, not a strict superset of counties(rural areas outside any CBSA excluded) -- distinct aggregation axis from state/county, no registration required.","yes","yes"
"","US","Moderate Days vs Unhealthy for Sensitive Groups Days","CBSA/metro(n=501)","corr=0.493","county(n=997)","corr=0.471","similar","EPA AirData annual AQI by county / by CBSA(metro,micro), 2024. CBSA is a functional(commuting-based) region, not a strict superset of counties(rural areas outside any CBSA excluded) -- distinct aggregation axis from state/county, no registration required.","yes","yes"
"","US","Moderate Days vs Unhealthy Days","CBSA/metro(n=501)","corr=0.242","county(n=997)","corr=0.238","similar","EPA AirData annual AQI by county / by CBSA(metro,micro), 2024. CBSA is a functional(commuting-based) region, not a strict superset of counties(rural areas outside any CBSA excluded) -- distinct aggregation axis from state/county, no registration required.","yes","yes"
"","US","Moderate Days vs Max AQI","CBSA/metro(n=501)","corr=0.345","county(n=997)","corr=0.332","similar","EPA AirData annual AQI by county / by CBSA(metro,micro), 2024. CBSA is a functional(commuting-based) region, not a strict superset of counties(rural areas outside any CBSA excluded) -- distinct aggregation axis from state/county, no registration required.","yes","yes"
"","US","Moderate Days vs 90th Percentile AQI","CBSA/metro(n=501)","corr=0.739","county(n=997)","corr=0.733","similar","EPA AirData annual AQI by county / by CBSA(metro,micro), 2024. CBSA is a functional(commuting-based) region, not a strict superset of counties(rural areas outside any CBSA excluded) -- distinct aggregation axis from state/county, no registration required.","yes","yes"
"","US","Moderate Days vs Median AQI","CBSA/metro(n=501)","corr=0.813","county(n=997)","corr=0.75","similar","EPA AirData annual AQI by county / by CBSA(metro,micro), 2024. CBSA is a functional(commuting-based) region, not a strict superset of counties(rural areas outside any CBSA excluded) -- distinct aggregation axis from state/county, no registration required.","yes","yes"
"","US","Moderate Days vs Days CO","CBSA/metro(n=501)","corr=-0.058","county(n=997)","corr=-0.053","similar","EPA AirData annual AQI by county / by CBSA(metro,micro), 2024. CBSA is a functional(commuting-based) region, not a strict superset of counties(rural areas outside any CBSA excluded) -- distinct aggregation axis from state/county, no registration required.","no","no"
"","US","Moderate Days vs Days NO2","CBSA/metro(n=501)","corr=0.137","county(n=997)","corr=-0.041","magnitude_change","EPA AirData annual AQI by county / by CBSA(metro,micro), 2024. CBSA is a functional(commuting-based) region, not a strict superset of counties(rural areas outside any CBSA excluded) -- distinct aggregation axis from state/county, no registration required.","yes","no"
"","US","Moderate Days vs Days Ozone","CBSA/metro(n=501)","corr=-0.027","county(n=997)","corr=-0.104","magnitude_change","EPA AirData annual AQI by county / by CBSA(metro,micro), 2024. CBSA is a functional(commuting-based) region, not a strict superset of counties(rural areas outside any CBSA excluded) -- distinct aggregation axis from state/county, no registration required.","no","yes"
"","US","Moderate Days vs Days PM2.5","CBSA/metro(n=501)","corr=0.301","county(n=997)","corr=0.406","magnitude_change","EPA AirData annual AQI by county / by CBSA(metro,micro), 2024. CBSA is a functional(commuting-based) region, not a strict superset of counties(rural areas outside any CBSA excluded) -- distinct aggregation axis from state/county, no registration required.","yes","yes"
"","US","Moderate Days vs Days PM10","CBSA/metro(n=501)","corr=-0.096","county(n=997)","corr=-0.056","magnitude_change","EPA AirData annual AQI by county / by CBSA(metro,micro), 2024. CBSA is a functional(commuting-based) region, not a strict superset of counties(rural areas outside any CBSA excluded) -- distinct aggregation axis from state/county, no registration required.","yes","no"
"","US","Unhealthy for Sensitive Groups Days vs Unhealthy Days","CBSA/metro(n=501)","corr=0.689","county(n=997)","corr=0.69","similar","EPA AirData annual AQI by county / by CBSA(metro,micro), 2024. CBSA is a functional(commuting-based) region, not a strict superset of counties(rural areas outside any CBSA excluded) -- distinct aggregation axis from state/county, no registration required.","yes","yes"
"","US","Unhealthy for Sensitive Groups Days vs Max AQI","CBSA/metro(n=501)","corr=0.345","county(n=997)","corr=0.361","similar","EPA AirData annual AQI by county / by CBSA(metro,micro), 2024. CBSA is a functional(commuting-based) region, not a strict superset of counties(rural areas outside any CBSA excluded) -- distinct aggregation axis from state/county, no registration required.","yes","yes"
"","US","Unhealthy for Sensitive Groups Days vs 90th Percentile AQI","CBSA/metro(n=501)","corr=0.838","county(n=997)","corr=0.794","similar","EPA AirData annual AQI by county / by CBSA(metro,micro), 2024. CBSA is a functional(commuting-based) region, not a strict superset of counties(rural areas outside any CBSA excluded) -- distinct aggregation axis from state/county, no registration required.","yes","yes"
"","US","Unhealthy for Sensitive Groups Days vs Median AQI","CBSA/metro(n=501)","corr=0.603","county(n=997)","corr=0.517","similar","EPA AirData annual AQI by county / by CBSA(metro,micro), 2024. CBSA is a functional(commuting-based) region, not a strict superset of counties(rural areas outside any CBSA excluded) -- distinct aggregation axis from state/county, no registration required.","yes","yes"
"","US","Unhealthy for Sensitive Groups Days vs Days CO","CBSA/metro(n=501)","corr=-0.017","county(n=997)","corr=-0.019","similar","EPA AirData annual AQI by county / by CBSA(metro,micro), 2024. CBSA is a functional(commuting-based) region, not a strict superset of counties(rural areas outside any CBSA excluded) -- distinct aggregation axis from state/county, no registration required.","no","no"
"","US","Unhealthy for Sensitive Groups Days vs Days NO2","CBSA/metro(n=501)","corr=0.144","county(n=997)","corr=0","magnitude_change","EPA AirData annual AQI by county / by CBSA(metro,micro), 2024. CBSA is a functional(commuting-based) region, not a strict superset of counties(rural areas outside any CBSA excluded) -- distinct aggregation axis from state/county, no registration required.","yes","no"
"","US","Unhealthy for Sensitive Groups Days vs Days Ozone","CBSA/metro(n=501)","corr=0.096","county(n=997)","corr=0.093","similar","EPA AirData annual AQI by county / by CBSA(metro,micro), 2024. CBSA is a functional(commuting-based) region, not a strict superset of counties(rural areas outside any CBSA excluded) -- distinct aggregation axis from state/county, no registration required.","yes","yes"
"","US","Unhealthy for Sensitive Groups Days vs Days PM2.5","CBSA/metro(n=501)","corr=-0.056","county(n=997)","corr=-0.03","magnitude_change","EPA AirData annual AQI by county / by CBSA(metro,micro), 2024. CBSA is a functional(commuting-based) region, not a strict superset of counties(rural areas outside any CBSA excluded) -- distinct aggregation axis from state/county, no registration required.","no","no"
"","US","Unhealthy for Sensitive Groups Days vs Days PM10","CBSA/metro(n=501)","corr=0.081","county(n=997)","corr=0.083","similar","EPA AirData annual AQI by county / by CBSA(metro,micro), 2024. CBSA is a functional(commuting-based) region, not a strict superset of counties(rural areas outside any CBSA excluded) -- distinct aggregation axis from state/county, no registration required.","no","yes"
"","US","Unhealthy Days vs Max AQI","CBSA/metro(n=501)","corr=0.333","county(n=997)","corr=0.313","similar","EPA AirData annual AQI by county / by CBSA(metro,micro), 2024. CBSA is a functional(commuting-based) region, not a strict superset of counties(rural areas outside any CBSA excluded) -- distinct aggregation axis from state/county, no registration required.","yes","yes"
"","US","Unhealthy Days vs 90th Percentile AQI","CBSA/metro(n=501)","corr=0.681","county(n=997)","corr=0.63","similar","EPA AirData annual AQI by county / by CBSA(metro,micro), 2024. CBSA is a functional(commuting-based) region, not a strict superset of counties(rural areas outside any CBSA excluded) -- distinct aggregation axis from state/county, no registration required.","yes","yes"
"","US","Unhealthy Days vs Median AQI","CBSA/metro(n=501)","corr=0.433","county(n=997)","corr=0.349","similar","EPA AirData annual AQI by county / by CBSA(metro,micro), 2024. CBSA is a functional(commuting-based) region, not a strict superset of counties(rural areas outside any CBSA excluded) -- distinct aggregation axis from state/county, no registration required.","yes","yes"
"","US","Unhealthy Days vs Days CO","CBSA/metro(n=501)","corr=-0.007","county(n=997)","corr=-0.003","magnitude_change","EPA AirData annual AQI by county / by CBSA(metro,micro), 2024. CBSA is a functional(commuting-based) region, not a strict superset of counties(rural areas outside any CBSA excluded) -- distinct aggregation axis from state/county, no registration required.","no","no"
"","US","Unhealthy Days vs Days NO2","CBSA/metro(n=501)","corr=0.065","county(n=997)","corr=-0.004","magnitude_change","EPA AirData annual AQI by county / by CBSA(metro,micro), 2024. CBSA is a functional(commuting-based) region, not a strict superset of counties(rural areas outside any CBSA excluded) -- distinct aggregation axis from state/county, no registration required.","no","no"
"","US","Unhealthy Days vs Days Ozone","CBSA/metro(n=501)","corr=0.014","county(n=997)","corr=-0.013","similar","EPA AirData annual AQI by county / by CBSA(metro,micro), 2024. CBSA is a functional(commuting-based) region, not a strict superset of counties(rural areas outside any CBSA excluded) -- distinct aggregation axis from state/county, no registration required.","no","no"
"","US","Unhealthy Days vs Days PM2.5","CBSA/metro(n=501)","corr=0.008","county(n=997)","corr=0.048","magnitude_change","EPA AirData annual AQI by county / by CBSA(metro,micro), 2024. CBSA is a functional(commuting-based) region, not a strict superset of counties(rural areas outside any CBSA excluded) -- distinct aggregation axis from state/county, no registration required.","no","no"
"","US","Unhealthy Days vs Days PM10","CBSA/metro(n=501)","corr=0.036","county(n=997)","corr=0.034","similar","EPA AirData annual AQI by county / by CBSA(metro,micro), 2024. CBSA is a functional(commuting-based) region, not a strict superset of counties(rural areas outside any CBSA excluded) -- distinct aggregation axis from state/county, no registration required.","no","no"
"","US","Max AQI vs 90th Percentile AQI","CBSA/metro(n=501)","corr=0.431","county(n=997)","corr=0.428","similar","EPA AirData annual AQI by county / by CBSA(metro,micro), 2024. CBSA is a functional(commuting-based) region, not a strict superset of counties(rural areas outside any CBSA excluded) -- distinct aggregation axis from state/county, no registration required.","yes","yes"
"","US","Max AQI vs Median AQI","CBSA/metro(n=501)","corr=0.353","county(n=997)","corr=0.295","similar","EPA AirData annual AQI by county / by CBSA(metro,micro), 2024. CBSA is a functional(commuting-based) region, not a strict superset of counties(rural areas outside any CBSA excluded) -- distinct aggregation axis from state/county, no registration required.","yes","yes"
"","US","Max AQI vs Days CO","CBSA/metro(n=501)","corr=-0.02","county(n=997)","corr=0.006","magnitude_change","EPA AirData annual AQI by county / by CBSA(metro,micro), 2024. CBSA is a functional(commuting-based) region, not a strict superset of counties(rural areas outside any CBSA excluded) -- distinct aggregation axis from state/county, no registration required.","no","no"
"","US","Max AQI vs Days NO2","CBSA/metro(n=501)","corr=0.092","county(n=997)","corr=-0.038","magnitude_change","EPA AirData annual AQI by county / by CBSA(metro,micro), 2024. CBSA is a functional(commuting-based) region, not a strict superset of counties(rural areas outside any CBSA excluded) -- distinct aggregation axis from state/county, no registration required.","yes","no"
"","US","Max AQI vs Days Ozone","CBSA/metro(n=501)","corr=0.053","county(n=997)","corr=0.044","similar","EPA AirData annual AQI by county / by CBSA(metro,micro), 2024. CBSA is a functional(commuting-based) region, not a strict superset of counties(rural areas outside any CBSA excluded) -- distinct aggregation axis from state/county, no registration required.","no","no"
"","US","Max AQI vs Days PM2.5","CBSA/metro(n=501)","corr=-0.003","county(n=997)","corr=0.02","magnitude_change","EPA AirData annual AQI by county / by CBSA(metro,micro), 2024. CBSA is a functional(commuting-based) region, not a strict superset of counties(rural areas outside any CBSA excluded) -- distinct aggregation axis from state/county, no registration required.","no","no"
"","US","Max AQI vs Days PM10","CBSA/metro(n=501)","corr=0.078","county(n=997)","corr=0.137","magnitude_change","EPA AirData annual AQI by county / by CBSA(metro,micro), 2024. CBSA is a functional(commuting-based) region, not a strict superset of counties(rural areas outside any CBSA excluded) -- distinct aggregation axis from state/county, no registration required.","no","yes"
"","US","90th Percentile AQI vs Median AQI","CBSA/metro(n=501)","corr=0.826","county(n=997)","corr=0.788","similar","EPA AirData annual AQI by county / by CBSA(metro,micro), 2024. CBSA is a functional(commuting-based) region, not a strict superset of counties(rural areas outside any CBSA excluded) -- distinct aggregation axis from state/county, no registration required.","yes","yes"
"","US","90th Percentile AQI vs Days CO","CBSA/metro(n=501)","corr=-0.06","county(n=997)","corr=-0.072","similar","EPA AirData annual AQI by county / by CBSA(metro,micro), 2024. CBSA is a functional(commuting-based) region, not a strict superset of counties(rural areas outside any CBSA excluded) -- distinct aggregation axis from state/county, no registration required.","no","yes"
"","US","90th Percentile AQI vs Days NO2","CBSA/metro(n=501)","corr=0.14","county(n=997)","corr=-0.118","reversed","EPA AirData annual AQI by county / by CBSA(metro,micro), 2024. CBSA is a functional(commuting-based) region, not a strict superset of counties(rural areas outside any CBSA excluded) -- distinct aggregation axis from state/county, no registration required.","yes","yes"
"","US","90th Percentile AQI vs Days Ozone","CBSA/metro(n=501)","corr=0.166","county(n=997)","corr=0.133","similar","EPA AirData annual AQI by county / by CBSA(metro,micro), 2024. CBSA is a functional(commuting-based) region, not a strict superset of counties(rural areas outside any CBSA excluded) -- distinct aggregation axis from state/county, no registration required.","yes","yes"
"","US","90th Percentile AQI vs Days PM2.5","CBSA/metro(n=501)","corr=0.035","county(n=997)","corr=0.1","magnitude_change","EPA AirData annual AQI by county / by CBSA(metro,micro), 2024. CBSA is a functional(commuting-based) region, not a strict superset of counties(rural areas outside any CBSA excluded) -- distinct aggregation axis from state/county, no registration required.","no","yes"
"","US","90th Percentile AQI vs Days PM10","CBSA/metro(n=501)","corr=-0.102","county(n=997)","corr=-0.083","similar","EPA AirData annual AQI by county / by CBSA(metro,micro), 2024. CBSA is a functional(commuting-based) region, not a strict superset of counties(rural areas outside any CBSA excluded) -- distinct aggregation axis from state/county, no registration required.","yes","yes"
"","US","Median AQI vs Days CO","CBSA/metro(n=501)","corr=-0.165","county(n=997)","corr=-0.163","similar","EPA AirData annual AQI by county / by CBSA(metro,micro), 2024. CBSA is a functional(commuting-based) region, not a strict superset of counties(rural areas outside any CBSA excluded) -- distinct aggregation axis from state/county, no registration required.","yes","yes"
"","US","Median AQI vs Days NO2","CBSA/metro(n=501)","corr=0.095","county(n=997)","corr=-0.153","reversed","EPA AirData annual AQI by county / by CBSA(metro,micro), 2024. CBSA is a functional(commuting-based) region, not a strict superset of counties(rural areas outside any CBSA excluded) -- distinct aggregation axis from state/county, no registration required.","yes","yes"
"","US","Median AQI vs Days Ozone","CBSA/metro(n=501)","corr=0.315","county(n=997)","corr=0.347","similar","EPA AirData annual AQI by county / by CBSA(metro,micro), 2024. CBSA is a functional(commuting-based) region, not a strict superset of counties(rural areas outside any CBSA excluded) -- distinct aggregation axis from state/county, no registration required.","yes","yes"
"","US","Median AQI vs Days PM2.5","CBSA/metro(n=501)","corr=-0.05","county(n=997)","corr=-0.046","similar","EPA AirData annual AQI by county / by CBSA(metro,micro), 2024. CBSA is a functional(commuting-based) region, not a strict superset of counties(rural areas outside any CBSA excluded) -- distinct aggregation axis from state/county, no registration required.","no","no"
"","US","Median AQI vs Days PM10","CBSA/metro(n=501)","corr=-0.218","county(n=997)","corr=-0.201","similar","EPA AirData annual AQI by county / by CBSA(metro,micro), 2024. CBSA is a functional(commuting-based) region, not a strict superset of counties(rural areas outside any CBSA excluded) -- distinct aggregation axis from state/county, no registration required.","yes","yes"
"","US","Days CO vs Days NO2","CBSA/metro(n=501)","corr=0.022","county(n=997)","corr=-0.002","magnitude_change","EPA AirData annual AQI by county / by CBSA(metro,micro), 2024. CBSA is a functional(commuting-based) region, not a strict superset of counties(rural areas outside any CBSA excluded) -- distinct aggregation axis from state/county, no registration required.","no","no"
"","US","Days CO vs Days Ozone","CBSA/metro(n=501)","corr=-0.074","county(n=997)","corr=-0.071","similar","EPA AirData annual AQI by county / by CBSA(metro,micro), 2024. CBSA is a functional(commuting-based) region, not a strict superset of counties(rural areas outside any CBSA excluded) -- distinct aggregation axis from state/county, no registration required.","no","yes"
"","US","Days CO vs Days PM2.5","CBSA/metro(n=501)","corr=-0.02","county(n=997)","corr=-0.011","magnitude_change","EPA AirData annual AQI by county / by CBSA(metro,micro), 2024. CBSA is a functional(commuting-based) region, not a strict superset of counties(rural areas outside any CBSA excluded) -- distinct aggregation axis from state/county, no registration required.","no","no"
"","US","Days CO vs Days PM10","CBSA/metro(n=501)","corr=-0.001","county(n=997)","corr=-0.004","similar","EPA AirData annual AQI by county / by CBSA(metro,micro), 2024. CBSA is a functional(commuting-based) region, not a strict superset of counties(rural areas outside any CBSA excluded) -- distinct aggregation axis from state/county, no registration required.","no","no"
"","US","Days NO2 vs Days Ozone","CBSA/metro(n=501)","corr=0.034","county(n=997)","corr=-0.098","magnitude_change","EPA AirData annual AQI by county / by CBSA(metro,micro), 2024. CBSA is a functional(commuting-based) region, not a strict superset of counties(rural areas outside any CBSA excluded) -- distinct aggregation axis from state/county, no registration required.","no","yes"
"","US","Days NO2 vs Days PM2.5","CBSA/metro(n=501)","corr=0","county(n=997)","corr=-0.044","similar","EPA AirData annual AQI by county / by CBSA(metro,micro), 2024. CBSA is a functional(commuting-based) region, not a strict superset of counties(rural areas outside any CBSA excluded) -- distinct aggregation axis from state/county, no registration required.","no","no"
"","US","Days NO2 vs Days PM10","CBSA/metro(n=501)","corr=-0.024","county(n=997)","corr=-0.003","magnitude_change","EPA AirData annual AQI by county / by CBSA(metro,micro), 2024. CBSA is a functional(commuting-based) region, not a strict superset of counties(rural areas outside any CBSA excluded) -- distinct aggregation axis from state/county, no registration required.","no","no"
"","US","Days Ozone vs Days PM2.5","CBSA/metro(n=501)","corr=-0.756","county(n=997)","corr=-0.763","similar","EPA AirData annual AQI by county / by CBSA(metro,micro), 2024. CBSA is a functional(commuting-based) region, not a strict superset of counties(rural areas outside any CBSA excluded) -- distinct aggregation axis from state/county, no registration required.","yes","yes"
"","US","Days Ozone vs Days PM10","CBSA/metro(n=501)","corr=-0.203","county(n=997)","corr=-0.196","similar","EPA AirData annual AQI by county / by CBSA(metro,micro), 2024. CBSA is a functional(commuting-based) region, not a strict superset of counties(rural areas outside any CBSA excluded) -- distinct aggregation axis from state/county, no registration required.","yes","yes"
"","US","Days PM2.5 vs Days PM10","CBSA/metro(n=501)","corr=-0.221","county(n=997)","corr=-0.129","magnitude_change","EPA AirData annual AQI by county / by CBSA(metro,micro), 2024. CBSA is a functional(commuting-based) region, not a strict superset of counties(rural areas outside any CBSA excluded) -- distinct aggregation axis from state/county, no registration required.","yes","yes"
